instance,algorithm,avg_objective,std_objective,best_objective,best_distance,vehicles_used,feasible,vehicle_limit,capacity
C101,GA,233.72495351539493,6.9076603009103685,219.9096329135742,219.9096329135742,3,True,25,200.0
C101,PSO,193.46416845835716,16.09328471226172,175.37294006435135,175.37294006435135,3,True,25,200.0
C101,ACS,237.1787836658501,2.842170943040401e-14,237.17878366585012,237.17878366585012,3,True,25,200.0
C101,MEAF,185.02603844452,11.822582734149954,175.37294006435138,175.37294006435138,3,True,25,200.0
R101,GA,568.6792410985372,10.348213636150351,552.3497477347975,552.3497477347975,7,True,25,200.0
R101,PSO,544.8984145409884,7.311013614467393,538.0540057873549,538.0540057873549,6,True,25,200.0
R101,ACS,582.807656436926,0.0,582.807656436926,582.807656436926,7,True,25,200.0
R101,MEAF,539.3224981593972,3.3907346207381264,534.8176652942605,534.8176652942605,7,True,25,200.0
RC101,GA,505.1989265301946,2.059369580093304,501.13826237921734,501.13826237921734,5,True,25,200.0
RC101,PSO,461.7989128065733,3.975400351228945,453.87054805599337,453.87054805599337,5,True,25,200.0
RC101,ACS,506.5993761171849,0.0,506.5993761171849,506.5993761171849,5,True,25,200.0
RC101,MEAF,462.76571078916976,1.29488019276287,460.2456721659595,460.2456721659595,5,True,25,200.0
