instance,algorithm,avg_objective,std_objective,best_objective,best_distance,vehicles_used,feasible,vehicle_limit,capacity
C101,GA,880.479256048062,0.0,880.479256048062,880.479256048062,10,True,25,200.0
C101,PSO,880.479256048062,0.0,880.479256048062,880.479256048062,10,True,25,200.0
C101,ACS,880.479256048062,0.0,880.479256048062,880.479256048062,10,True,25,200.0
C101,MEAF,880.479256048062,0.0,880.479256048062,880.479256048062,10,True,25,200.0
R101,GA,2118.9499536762946,17.497093579714146,2101.4528600965805,2101.4528600965805,25,True,25,200.0
R101,PSO,2447.728248179615,2.0155208088604013,2445.7127273707547,2445.7127273707547,26,False,25,200.0
R101,ACS,2492.888460519936,0.0,2492.888460519936,2492.888460519936,26,False,25,200.0
R101,MEAF,2102.209833788851,33.623530942082425,2068.586302846769,2068.586302846769,25,True,25,200.0
RC101,GA,2414.0404133219,22.56154750183987,2391.47886582006,2391.47886582006,23,True,25,200.0
RC101,PSO,2406.7613450144836,29.840615809256406,2376.920729205227,2376.920729205227,22,True,25,200.0
RC101,ACS,2437.544140560279,0.0,2437.544140560279,2437.544140560279,22,True,25,200.0
RC101,MEAF,2321.3759631787434,25.517755846412456,2295.858207332331,2295.858207332331,21,True,25,200.0
C201,GA,591.5565566715015,0.0,591.5565566715015,591.5565566715015,3,True,25,700.0
C201,PSO,591.5565566715015,0.0,591.5565566715015,591.5565566715015,3,True,25,700.0
C201,ACS,591.5565566715015,0.0,591.5565566715015,591.5565566715015,3,True,25,700.0
C201,MEAF,591.5565566715015,0.0,591.5565566715015,591.5565566715015,3,True,25,700.0
R201,GA,1724.3516014403035,38.86750518491806,1685.4840962553853,1685.4840962553853,7,True,25,1000.0
R201,PSO,1743.9454373537524,19.27366927146909,1724.6717680822833,1724.6717680822833,7,True,25,1000.0
R201,ACS,1763.2191066252215,0.0,1763.2191066252215,1763.2191066252215,5,True,25,1000.0
R201,MEAF,1672.263693431967,2.216105137446334,1670.047588294521,1670.047588294521,5,True,25,1000.0
RC201,GA,1881.105791732511,32.54748936681494,1848.5583023656961,1848.5583023656961,7,True,25,1000.0
RC201,PSO,1913.5527579759625,7.320991198847878,1906.2317667771147,1906.2317667771147,7,True,25,1000.0
RC201,ACS,1920.8737491748104,0.0,1920.8737491748104,1920.8737491748104,6,True,25,1000.0
RC201,MEAF,1907.0176361658032,4.3699718272971495,1902.647664338506,1902.647664338506,9,True,25,1000.0
